id,name,city,country,ix_id,fac_id,created,updated,status,ix_name,org_id,org_name,campus_id,aka,name_long,website,social_media,clli,rencode,npanxx,notes,net_count,ix_count,sales_email,sales_phone,tech_email,tech_phone,available_voltage_services,diverse_serving_substations,property,region_continent,status_dashboard,address1,address2,state,zipcode,floor,suite,latitude,longitude
2732,Data Center ASAP SP1,São Paulo,BR,171,2732,2016-04-06T14:29:14Z,2024-01-30T13:51:47Z,ok,IX.br (PTT.br) São Paulo,11841,ASAP GLOBAL TELECOM LTDA,nan,ASAP TELECOM,nan,http://www.asaptelecom.com.br,"[{'service': 'website', 'identifier': 'http://www.asaptelecom.com.br'}]",nan,nan,nan,nan,11,1,comercial@asaptelecom.com.br,551126671208.0,cgr@asaptelecom.com.br,551126671208.0,['480 VAC'],nan,nan,South America,https://www.asaptelecom.com.br/,"Avenida das Nações Unidas, 22540",Vila Almeida,SP,04795-000,Pavimento 01 C,nan,-23.678168,-46.699025
3809,NIC-NU (Nações Unidas),São Paulo,BR,171,3809,2017-03-08T10:53:57Z,2017-09-06T05:47:42Z,ok,IX.br (PTT.br) São Paulo,1245,NIC.br,nan,nan,nan,http://ix.br/,"[{'service': 'website', 'identifier': 'http://ix.br/'}]",nan,nan,nan,nan,5,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Av. das Nações Unidas, 11541, 7° andar",nan,SP,04578-000,nan,nan,-23.523719,-46.762259
3810,NIC-JD (João Dias),São Paulo,BR,171,3810,2017-03-08T10:56:41Z,2017-09-06T05:47:42Z,ok,IX.br (PTT.br) São Paulo,1245,NIC.br,nan,nan,nan,http://ix.br/,"[{'service': 'website', 'identifier': 'http://ix.br/'}]",nan,nan,nan,nan,11,2,nan,nan,nan,nan,[],nan,nan,South America,nan,"Av. João Dias, 3163",nan,SP,04723-003,nan,nan,-23.645149,-46.730636
3913,ODATA DC SP01,Santana de Parnaíba,BR,171,3913,2017-04-12T11:56:40Z,2017-11-15T04:38:39Z,ok,IX.br (PTT.br) São Paulo,16687,ODATA S.A.,nan,nan,nan,http://www.odatacolocation.com,"[{'service': 'website', 'identifier': 'http://www.odatacolocation.com'}]",nan,nan,nan,nan,29,2,nan,nan,nan,nan,[],nan,nan,South America,nan,"Estrada dos Romeiros , 943","Estrada dos Romeiros KM 39,2",São Paulo,06501-001,nan,nan,nan,nan
4162,Sba Edge Sao Paulo,Sao Paulo,BR,171,4162,2017-06-23T13:34:29Z,2024-08-09T17:08:53Z,ok,IX.br (PTT.br) São Paulo,17339,Matrix Data Center S.A.,nan,nan,nan,http://www.matrix.net.br,"[{'service': 'website', 'identifier': 'http://www.matrix.net.br'}]",nan,nan,nan,nan,21,2,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua José Abrantes, 186",nan,Sao Paulo,04756-010,nan,nan,-23.64713,-46.717466
4309,Equinix SP3 - São Paulo,Santana de Parnaiba,BR,171,4309,2017-08-14T19:44:07Z,2020-07-03T11:31:43Z,ok,IX.br (PTT.br) São Paulo,2,"Equinix, Inc.",nan,nan,nan,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp3/,"[{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp3/'}]",nan,nan,nan,nan,125,5,nan,nan,nan,nan,[],nan,nan,South America,nan,"Avenida Marcos Penteado de Ulhoa Rodrigues, 249",nan,SP,06543-001,nan,nan,-23.466119,-46.863194
5132,BR.Digital São Paulo (SPO1),São Paulo,BR,171,5132,2018-04-02T17:41:37Z,2021-09-28T22:29:29Z,ok,IX.br (PTT.br) São Paulo,30098,BR.Digital,nan,nan,nan,https://br.digital/,"[{'service': 'website', 'identifier': 'https://br.digital/'}]",nan,nan,nan,nan,20,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua Flórida, 1738 / 2o andar",nan,SP,04565-001,nan,nan,-23.607136,-46.694609
5226,Scala Data Centers SGRUTB01,Barueri,BR,171,5226,2018-04-17T20:01:26Z,2023-12-11T12:21:05Z,ok,IX.br (PTT.br) São Paulo,12216,Scala Data Centers,nan,nan,nan,https://scaladatacenters.com/,"[{'service': 'website', 'identifier': 'https://scaladatacenters.com/'}]",nan,nan,nan,nan,15,2,presales@scaladatacenters.com,nan,l-commandcenter-sd@scaladatacenters.com,nan,[],nan,Owner,South America,nan,Av. Ceci 1850,Tamboré,São Paulo,01202-000,nan,nan,-23.49497,-46.811305
7580,Ascenty SP2 - São Paulo,Osasco,BR,171,7580,2019-11-07T21:03:27Z,2022-06-06T16:19:29Z,ok,IX.br (PTT.br) São Paulo,7838,Ascenty DataCenters e Telecom,nan,nan,nan,https://www.ascenty.com/data-centers/sao-paulo-capital/sao-paulo-2/,"[{'service': 'website', 'identifier': 'https://www.ascenty.com/data-centers/sao-paulo-capital/sao-paulo-2/'}]",nan,nan,nan,nan,78,3,nan,nan,cgr@ascenty.com,551935177600.0,[],nan,nan,South America,nan,"Av. Roberto Pinto Sobrinho, 350",nan,São Paulo,06268-120,nan,nan,-23.492259,-46.777232
7589,Ascenty VIN1 - Vinhedo,Vinhedo,BR,171,7589,2019-11-07T21:18:58Z,2022-06-06T16:13:22Z,ok,IX.br (PTT.br) São Paulo,7838,Ascenty DataCenters e Telecom,nan,nan,nan,https://www.ascenty.com/data-centers/vinhedo/vinhedo-1/,"[{'service': 'website', 'identifier': 'https://www.ascenty.com/data-centers/vinhedo/vinhedo-1/'}]",nan,nan,nan,nan,16,2,nan,nan,cgr@ascenty.com,551935177600.0,[],nan,nan,South America,nan,"Avenida 2, número  50 - Distrito Industrial Benedito – Storini",nan,São Paulo,13.288-162,nan,nan,nan,nan
11609,Elea SPO1 - São Paulo,São Paulo,BR,171,11609,2022-01-10T21:55:20Z,2022-01-10T22:06:44Z,ok,IX.br (PTT.br) São Paulo,31448,Elea Data Centers,nan,nan,nan,https://www.eleadigital.com/7/data-centers#a70,"[{'service': 'website', 'identifier': 'https://www.eleadigital.com/7/data-centers#a70'}]",nan,nan,nan,nan,10,1,comercial@eleadigital.com,nan,comunicacao@eleadigital.com,nan,[],nan,nan,South America,nan,"Avenida Guido Caloi, 1000",Santo Amaro Condomínio Panamerica Park Bloco 7,SP,05802-140,nan,nan,-23.653242,-46.725456
11717,PIX USP,São Paulo,BR,171,11717,2022-01-25T13:49:20Z,2022-01-25T14:07:33Z,ok,IX.br (PTT.br) São Paulo,8097,UNIVERSIDADE DE SAO PAULO,nan,nan,Universidade de Sao Paulo,https://www5.usp.br/,"[{'service': 'website', 'identifier': 'https://www5.usp.br/'}]",nan,nan,nan,nan,0,1,nan,nan,backbone@usp.br,nan,[],nan,nan,South America,nan,"Av. Professor Luciano Gualberto - travessa 3, nº 71",Cidade Universitária - Butantã,SP,05508-010,nan,nan,-23.56174,-46.721256
11718,PIX ALGAR-PIAF,São Paulo,BR,171,11718,2022-01-25T14:39:58Z,2022-01-25T18:46:15Z,ok,IX.br (PTT.br) São Paulo,8889,Algar Telecom S/A,nan,nan,Algar Telecom S/A,http://www.algartelecom.com.br,"[{'service': 'website', 'identifier': 'http://www.algartelecom.com.br'}]",nan,nan,nan,nan,4,1,medici@algartelecom.com.br,nan,nan,nan,[],nan,nan,South America,nan,"Rua Casa do Ator, 415",Vila Olimpia,SP,04546-002,nan,nan,-23.599544,-46.677678
11719,PIX ALGAR-CENESP,São Paulo,BR,171,11719,2022-01-25T16:48:50Z,2022-01-25T18:45:52Z,ok,IX.br (PTT.br) São Paulo,8889,Algar Telecom S/A,nan,nan,Algar Telecom S/A,http://www.algartelecom.com.br,"[{'service': 'website', 'identifier': 'http://www.algartelecom.com.br'}]",nan,nan,nan,nan,4,1,medici@algartelecom.com.br,nan,nan,nan,[],nan,nan,South America,nan,"Avenida Maria Coelho Aguiar, 215 Sala 102F",Jardim São Luís,SP,05805-000,nan,nan,-23.648726,-46.728887
11721,PIX Locaweb,São Paulo,BR,171,11721,2022-01-25T17:00:16Z,2022-01-25T17:00:16Z,ok,IX.br (PTT.br) São Paulo,8227,Locaweb S.A.,nan,nan,Locaweb S.A.,http://locaweb.com.br/,"[{'service': 'website', 'identifier': 'http://locaweb.com.br/'}]",nan,nan,nan,nan,4,2,nan,nan,noc@locaweb.com.br,nan,[],nan,nan,South America,nan,"Rua Itapaiuna, 2434 - Jardim Morumbi",nan,SP,05707-001,nan,nan,nan,nan
11723,PIX Tim,São Paulo,BR,171,11723,2022-01-25T17:49:19Z,2022-01-25T17:49:53Z,ok,IX.br (PTT.br) São Paulo,9145,TIM Celular SA,nan,nan,TIM Celular SA,https://www.tim.com.br/rj,"[{'service': 'website', 'identifier': 'https://www.tim.com.br/rj'}]",nan,nan,nan,nan,0,1,fcesilva@timbrasil.com.br,nan,fcesilva@timbrasil.com.br,nan,[],nan,nan,South America,nan,"Av. Alfredo Egídio de Souza Aranha, 100",nan,SP,04726-170,nan,nan,-23.632891,-46.712391
11725,PIX GVT-JD,São Paulo,BR,171,11725,2022-01-25T18:42:32Z,2022-01-25T18:43:04Z,ok,IX.br (PTT.br) São Paulo,23003,TELEFÔNICA BRASIL S.A,nan,nan,TELEFÔNICA BRASIL S.A,http://www.telefonica.com.br,"[{'service': 'website', 'identifier': 'http://www.telefonica.com.br'}]",nan,nan,nan,nan,0,1,bruno.ambrogi@telefonica.com,nan,bruno.ambrogi@telefonica.com,nan,[],nan,nan,South America,nan,"Rua Júlio Diniz, 190",nan,SP,04547-090,nan,nan,-23.59912,-46.685078
11728,PIX Americanet,São Paulo,BR,171,11728,2022-01-26T18:00:36Z,2022-01-26T18:01:17Z,ok,IX.br (PTT.br) São Paulo,19474,America-NET Ltda.,nan,nan,America-NET Ltda.,https://americanet.com.br/,"[{'service': 'website', 'identifier': 'https://americanet.com.br/'}]",nan,nan,nan,nan,0,1,simei@americanet.com.br,nan,simei@americanet.com.br,nan,[],nan,nan,South America,nan,"Avenida Brigadeiro Faria Lima, 1912 6F",Jardim Paulistano,SP,01451-000,nan,nan,-23.574408,-46.689351
11729,PIX Embratel SP,São Paulo,BR,171,11729,2022-01-26T18:46:59Z,2022-01-26T19:02:26Z,ok,IX.br (PTT.br) São Paulo,7728,Embratel,nan,nan,Embratel,http://www.embratel.com.br,"[{'service': 'website', 'identifier': 'http://www.embratel.com.br'}]",nan,nan,nan,nan,3,1,LFSFREI@embratel.com.br,nan,LFSFREI@embratel.com.br,nan,[],nan,nan,South America,nan,"Rua dos Ingleses, 600",nan,SP,01329-000,nan,nan,-23.563686,-46.646687
11730,PIX SAMMCCR,São Paulo,BR,171,11730,2022-01-26T19:00:30Z,2022-01-26T19:01:04Z,ok,IX.br (PTT.br) São Paulo,12237,SAMM Sociedade de Atividades em Multimidia LTDA,nan,nan,SAMM Sociedade de Atividades em Multimidia LTDA,http://www.sammnet.com.br,"[{'service': 'website', 'identifier': 'http://www.sammnet.com.br'}]",nan,nan,nan,nan,3,1,pix.samm@grupoccr.com.br,nan,pix.samm@grupoccr.com.br,nan,[],nan,nan,South America,nan,"Av. Chedid Jafet 222, Bloco C",Conj. 51C - 5o. andar,SP,04551-065,nan,nan,-23.592622,-46.690693
1565,Cirion Porto Alegre,Porto Alegre,BR,173,1565,2013-10-22T00:00:00Z,2023-05-30T20:31:55Z,ok,IX.br (PTT.br) Porto Alegre,35201,Cirion,nan,nan,Cirion Technologies,https://ciriontechnologies.com,"[{'service': 'website', 'identifier': 'https://ciriontechnologies.com'}]",nan,nan,nan,nan,15,1,contato.br@ciriontechnologies.com,551139572200.0,dl-ipnoc-lat@ciriontechnologies.com,nan,[],nan,nan,South America,nan,"Avenida Carlos Gomes, 141 Sala 806",Auxiliadora,RS,90480-003,nan,nan,-30.023646,-51.184129
1743,PIX AdylNET - PAE,Porto Alegre,BR,173,1743,2014-02-25T00:00:00Z,2021-11-17T23:06:52Z,ok,IX.br (PTT.br) Porto Alegre,8505,AdylNET Telecom,nan,nan,nan,https://www.adylnet.com.br,"[{'service': 'website', 'identifier': 'https://www.adylnet.com.br'}]",nan,nan,nan,nan,15,1,silvio@adyl.net.br,555421218999.0,n3@adyl.net.br,555421218920.0,[],False,Owner,South America,nan,"Rua Germano Petersen Júnior, 101",Auxiliadora,RS,90540-140,8º,nan,-30.017148,-51.190773
2212,Metrolan,Porto Alegre,BR,173,2212,2015-07-02T00:00:00Z,2024-03-04T12:43:45Z,ok,IX.br (PTT.br) Porto Alegre,11505,Websul Telecom,nan,"PIX Datavag/Websul, PIX Nexfibra",nan,https://ix.br/trafego/pix/rs/metrolan/bps,"[{'service': 'website', 'identifier': 'https://ix.br/trafego/pix/rs/metrolan/bps'}]",nan,nan,nan,Formerly called PIX Datavag/Websul,3,1,nan,nan,nan,nan,['48 VDC'],False,Lessee,South America,nan,"Av. Independencia, 1275",nan,RS,90035-077,B1,nan,-30.02912,-51.208078
2506,SouthTech Telecom - Porto Alegre,Porto Alegre,BR,173,2506,2016-01-19T00:00:00Z,2021-11-05T01:42:32Z,ok,IX.br (PTT.br) Porto Alegre,13279,Vogel Soluções em Telecom e Informática S/A,nan,nan,nan,http://www.stech.net.br,"[{'service': 'website', 'identifier': 'http://www.stech.net.br'}]",nan,nan,nan,nan,4,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua General Bento Martins, 24",Centro Histórico,RS,90010-080,8 andar,nan,-30.030376,-51.235574
3796,BR.Digital Porto Alegre (PAE1),Porto Alegre,BR,173,3796,2017-03-07T01:39:21Z,2021-09-28T22:29:29Z,ok,IX.br (PTT.br) Porto Alegre,30098,BR.Digital,nan,nan,nan,https://br.digital/,"[{'service': 'website', 'identifier': 'https://br.digital/'}]",nan,nan,nan,nan,25,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua General Câmara, 156",3o Andar,RS,90010-230,nan,nan,-30.028618,-51.230161
5273,Leovin Internet - Novo Hamburgo,Novo Hamburgo,BR,173,5273,2018-04-24T16:57:02Z,2019-05-10T16:10:57Z,ok,IX.br (PTT.br) Porto Alegre,9404,LVT Telecom,nan,nan,nan,http://lvttelecom.com.br,"[{'service': 'website', 'identifier': 'http://lvttelecom.com.br'}]",nan,nan,nan,nan,3,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua Gomes Portinho, 17",nan,Rio Grande do Sul,93510-360,nan,nan,-29.686585,-51.129226
7126,PIX Defferrari - Porto Alegre,Porto Alegre,BR,173,7126,2019-07-26T11:43:33Z,2024-06-13T18:53:51Z,ok,IX.br (PTT.br) Porto Alegre,14792,Defferrari Informática Ltda.,nan,nan,nan,http://dsi.net.br,"[{'service': 'website', 'identifier': 'http://dsi.net.br'}]",nan,nan,nan,nan,3,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua Mariante, 193 - Sala 101",nan,Rio Grande do Sul,90430-181,nan,nan,-30.029477,-51.204482
11229,PIX Nossa Telecom PAE,Porto Alegre,BR,173,11229,2021-09-30T16:47:02Z,2022-01-22T05:43:30Z,ok,IX.br (PTT.br) Porto Alegre,11013,Nossa Telecom Telecomunicações Ltda,nan,nan,nan,https://nossatelecom.com.br,"[{'service': 'website', 'identifier': 'https://nossatelecom.com.br'}]",nan,nan,nan,nan,10,1,nan,nan,noc@najatelecom.com.br,nan,[],nan,nan,South America,nan,"Rua Furriel Luíz Antônio de Vargas, 250 - Bela Vista",nan,Rio Grande do Sul,90470-130,nan,nan,-30.027268,-51.182641
11612,Elea POA1 - Porto Alegre,Porto Alegre,BR,173,11612,2022-01-10T22:08:49Z,2022-01-10T22:11:43Z,ok,IX.br (PTT.br) Porto Alegre,31448,Elea Data Centers,nan,nan,nan,https://www.eleadigital.com/7/data-centers#a30,"[{'service': 'website', 'identifier': 'https://www.eleadigital.com/7/data-centers#a30'}]",nan,nan,nan,nan,4,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"Rua Engenheiro Afonso Cavalcanti, 100",Bela Vista,RS,90440-110,nan,nan,-30.034458,-51.1911
11700,PIX Sygo,Porto Alegre,BR,173,11700,2022-01-24T17:42:19Z,2022-01-24T23:47:51Z,ok,IX.br (PTT.br) Porto Alegre,10817,Sygo Internet,nan,nan,Sygo Internet,https://www.sygo.com.br/,"[{'service': 'website', 'identifier': 'https://www.sygo.com.br/'}]",nan,nan,nan,nan,0,1,eder.miotto@sygo.com.br,nan,eder.miotto@sygo.com.br,nan,[],nan,nan,South America,nan,"Av. Getúlio Vargas, 1020",nan,RS,90150-002,nan,nan,-30.053617,-51.22202
11702,PIX NexFibra,Porto Alegre,BR,173,11702,2022-01-24T18:11:21Z,2022-01-24T23:49:27Z,ok,IX.br (PTT.br) Porto Alegre,10817,Sygo Internet,nan,nan,Sygo Internet,http://www.sygo.com.br,"[{'service': 'website', 'identifier': 'http://www.sygo.com.br'}]",nan,nan,nan,nan,0,1,d.camargo@nexfibra.com.br,nan,d.camargo@nexfibra.com.br,nan,[],nan,nan,South America,nan,"Av. Independência, 1275",Moinhos de Vento,RS,90035-074,nan,nan,-30.02912,-51.208078
11705,PIX Renovare,Porto Alegre,BR,173,11705,2022-01-24T19:30:09Z,2022-01-24T23:45:33Z,ok,IX.br (PTT.br) Porto Alegre,11017,RENOVARE TELECOM,nan,nan,RENOVARE TELECOM,http://renovaretelecom.com.br,"[{'service': 'website', 'identifier': 'http://renovaretelecom.com.br'}]",nan,nan,nan,nan,0,1,arnold@renovaretelecom.com.br,nan,arnold@renovaretelecom.com.br,nan,[],nan,nan,South America,nan,"Avenida Carlos Gomes, 141 Sala 309",Auxiliadora,RS,90480-003,nan,nan,-30.023646,-51.184129
12984,Elea POA2 - Porto Alegre,Porto Alegre,BR,173,12984,2022-11-09T19:20:40Z,2022-11-10T11:08:45Z,ok,IX.br (PTT.br) Porto Alegre,31448,Elea Data Centers,nan,nan,nan,https://www.eleadigital.com,"[{'service': 'website', 'identifier': 'https://www.eleadigital.com'}]",nan,nan,nan,nan,3,1,nan,nan,nan,nan,[],nan,nan,South America,nan,"R. Voluntários da Pátria, 1555",nan,RS,90030-002,nan,nan,-30.020302,-51.214206
13051,PIX-Tri Telecom,Porto Alegre,BR,173,13051,2022-11-25T17:52:58Z,2022-11-25T18:07:36Z,ok,IX.br (PTT.br) Porto Alegre,8225,Tri Telecom,nan,Tri Telecom,Tri Telecom,http://www.tri.com.br,"[{'service': 'website', 'identifier': 'http://www.tri.com.br'}]",nan,nan,nan,nan,0,1,nan,nan,noc@tri.com.br,55513300330.0,[],nan,nan,South America,nan,"Avenida Assis Brasil, 7802",Sarandi,RS,91140-000,nan,nan,-29.985864,-51.120506
13052,PIX Telium Porto Alegre,Porto Alegre,BR,173,13052,2022-11-25T18:09:09Z,2022-11-25T18:10:46Z,ok,IX.br (PTT.br) Porto Alegre,1306,Telium Networks,nan,Telium,Telium,http://www.telium.com.br,"[{'service': 'website', 'identifier': 'http://www.telium.com.br'}]",nan,nan,nan,nan,9,1,nan,nan,sampaio@telium.com.br,551140035700.0,[],nan,nan,South America,nan,"Av. Independência, 1299",Independência,nan,90035-073,nan,nan,-30.029433,-51.20761
13803,PIX Giganetsul - Porto Alegre,Alvorada,BR,173,13803,2023-06-16T16:31:12Z,2023-06-16T16:31:59Z,ok,IX.br (PTT.br) Porto Alegre,17934,GIGANETSUL - ME,nan,nan,GIGANETSUL - ME,https://www.gnsfibra.com.br,"[{'service': 'website', 'identifier': 'https://www.gnsfibra.com.br'}]",nan,nan,nan,nan,0,1,noc@giganetsul.com.br,nan,noc@giganetsul.com.br,nan,[],nan,nan,South America,nan,"Rua Fátima, 457",Maria Regina,RS,94828-320,nan,nan,-29.992443,-51.051317
